transport,platform,algo,path,latency_ms
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,50.856079
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,54.601417
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,58.612172
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,54.709354
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,53.363209
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,54.649551
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,54.932754
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,54.881408
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,58.530068
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,54.610346
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,57.162828
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,54.70558
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,54.67877
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,55.521952
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,53.93888
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,54.296463
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,54.588546
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,54.877402
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,56.267032
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,57.25331
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,54.722584
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,54.742444
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,54.428895
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,54.497221
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,54.311037
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,54.35274
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,54.448078
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,54.95777
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,54.405355
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,55.423482
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,52.189328
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,56.474545
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,54.408584
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,54.827115
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,54.967341
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,54.446398
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,54.613574
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,54.681412
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,54.740712
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,54.600519
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,54.661354
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,54.553196
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,54.706667
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,55.397673
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,54.677615
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,54.588439
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,141.264891
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,54.671537
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,57.081692
QUIC,sensor_rpi4,ECDSAP256,sensor_rpi4,54.86049
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,112.548003
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,108.258484
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,110.136556
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,109.200701
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,110.157584
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,111.290002
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,115.556458
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,110.239368
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,110.598363
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,111.948222
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,107.773511
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,104.913824
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,102.903908
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,110.640441
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,107.183976
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,106.835234
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,112.403843
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,109.247929
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,100.028306
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,107.709743
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,110.682658
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,110.918604
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,106.093778
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,110.426489
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,105.417463
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,104.364657
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,107.280842
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,99.137901
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,110.582645
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,106.842362
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,110.046458
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,108.912547
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,108.880125
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,111.11493
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,111.175019
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,103.209732
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,110.890348
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,103.245715
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,100.901964
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,106.339162
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,111.904121
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,110.53229
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,107.05336
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,107.645422
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,106.215858
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,109.314154
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,108.050003
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,108.497997
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,106.472115
TCP-tls1.2,sensor_rpi4,ECDSAP256,sensor_rpi4,111.553167
TCP-tls1.3,sensor_rpi4,ECDSAP256,sensor_rpi4,110.941421
TCP-tls1.3,sensor_rpi4,ECDSAP256,sensor_rpi4,108.550981
TCP-tls1.3,sensor_rpi4,ECDSAP256,sensor_rpi4,104.86626
TCP-tls1.3,sensor_rpi4,ECDSAP256,sensor_rpi4,107.525647
TCP-tls1.3,sensor_rpi4,ECDSAP256,sensor_rpi4,106.920422
TCP-tls1.3,sensor_rpi4,ECDSAP256,sensor_rpi4,107.473317
TCP-tls1.3,sensor_rpi4,ECDSAP256,sensor_rpi4,110.540649
TCP-tls1.3,sensor_rpi4,ECDSAP256,sensor_rpi4,111.903042
TCP-tls1.3,sensor_rpi4,ECDSAP256,sensor_rpi4,109.25824
TCP-tls1.3,sensor_rpi4,ECDSAP256,sensor_rpi4,105.124076
TCP-tls1.3,sensor_rpi4,ECDSAP256,sensor_rpi4,103.669662
